FrameCount, FrameTime, groupSizeX, groupSizeY, groupNumX, groupNumY, worksetSizeX, worksetSizeY, 
368, 0.016371, 160, 3, 10, 300, 1600, 900, 
369, 0.016528, 160, 3, 10, 300, 1600, 900, 
370, 0.016433, 160, 3, 10, 300, 1600, 900, 
371, 0.016680, 160, 3, 10, 300, 1600, 900, 
372, 0.016388, 160, 3, 10, 300, 1600, 900, 
373, 0.016779, 160, 3, 10, 300, 1600, 900, 
374, 0.017597, 160, 3, 10, 300, 1600, 900, 
375, 0.017370, 160, 3, 10, 300, 1600, 900, 
376, 0.017209, 160, 3, 10, 300, 1600, 900, 
377, 0.017389, 160, 3, 10, 300, 1600, 900, 
378, 0.017567, 160, 3, 10, 300, 1600, 900, 
379, 0.017137, 160, 3, 10, 300, 1600, 900, 
380, 0.017475, 160, 3, 10, 300, 1600, 900, 
381, 0.017092, 160, 3, 10, 300, 1600, 900, 
382, 0.017378, 160, 3, 10, 300, 1600, 900, 
383, 0.018910, 160, 3, 10, 300, 1600, 900, 
384, 0.018974, 160, 3, 10, 300, 1600, 900, 
385, 0.016127, 160, 3, 10, 300, 1600, 900, 
386, 0.017255, 160, 3, 10, 300, 1600, 900, 
387, 0.016889, 160, 3, 10, 300, 1600, 900, 
388, 0.017196, 160, 3, 10, 300, 1600, 900, 
389, 0.017648, 160, 3, 10, 300, 1600, 900, 
390, 0.017410, 160, 3, 10, 300, 1600, 900, 
391, 0.017159, 160, 3, 10, 300, 1600, 900, 
392, 0.017198, 160, 3, 10, 300, 1600, 900, 
393, 0.017260, 160, 3, 10, 300, 1600, 900, 
394, 0.017280, 160, 3, 10, 300, 1600, 900, 
395, 0.017295, 160, 3, 10, 300, 1600, 900, 
396, 0.017549, 160, 3, 10, 300, 1600, 900, 
397, 0.017111, 160, 3, 10, 300, 1600, 900, 
398, 0.017270, 160, 3, 10, 300, 1600, 900, 
399, 0.017173, 160, 3, 10, 300, 1600, 900, 
400, 0.017662, 160, 3, 10, 300, 1600, 900, 
401, 0.017697, 160, 3, 10, 300, 1600, 900, 
402, 0.017539, 160, 3, 10, 300, 1600, 900, 
403, 0.017153, 160, 3, 10, 300, 1600, 900, 
404, 0.016708, 160, 3, 10, 300, 1600, 900, 
405, 0.017290, 160, 3, 10, 300, 1600, 900, 
406, 0.017228, 160, 3, 10, 300, 1600, 900, 
407, 0.017299, 160, 3, 10, 300, 1600, 900, 
408, 0.017464, 160, 3, 10, 300, 1600, 900, 
